,Source.Name,,created_at,,id,,like_count,quote_count,reply_count,retweet_count,,tweet,,CLEANED
232,FinancialTimesv3_0906.csv,,02/09/2020 09:31,,58,,5,0,0,1,,It is the first initiative of this scale for cleaning products. https://t.co/8M9bDo0Eof,,It is the first initiative of this scale for cleaning products httpstco8M9bDo0Eof
231,FinancialTimesv3_0906.csv,,02/09/2020 10:08,,59,,6,0,1,1,,"Daily coronavirus thread:
👉Since the easing of lockdown restrictions, UK house prices rose 2% in August compared with July 
👉Military doctors have been sent to Seoul as virus surges
👉India has reported more than 1,000 new Covid-19 fatalities https://t.co/3VzCr9KRtF",,Daily coronavirus threadSince the easing of lockdown restrictions UK house prices rose 2 in August compared with July Military doctors have been sent to Seoul as virus surgesIndia has reported more than 1000 new Covid19 fatalities httpstco3VzCr9KRtF
225,FinancialTimesv3_0906.csv,,02/09/2020 12:30,,60,,6,0,0,1,,Interested to know how the @financialtimes' views are formed? Join editor @KhalafRoula and a panel of writers including @JananGanesh @GillianTett @MartinWolf_ for a rare look inside the FT's editorial debate at the #FTWeekendFestival this Saturday https://t.co/FGK5APeWdk https://t.co/dYQuugekE8,,Interested to know how the financialtimes views are formed? Join editor KhalafRoula and a panel of writers including JananGanesh GillianTett MartinWolf for a rare look inside the FTs editorial debate at the FTWeekendFestival this Saturday httpstcoFGK5APeWdk httpstcodYQuugekE8
223,FinancialTimesv3_0906.csv,,02/09/2020 13:30,,61,,4,0,1,1,,The move reflects mounting fears in Washington that millions of Americans could struggle to make rent payments in the coming weeks. https://t.co/p63r5OY8dG,,The move reflects mounting fears in Washington that millions of Americans could struggle to make rent payments in the coming weeks httpstcop63r5OY8dG
217,FinancialTimesv3_0906.csv,,02/09/2020 15:30,,62,,2,0,0,1,,"Yoshihide Suga, the son of a strawberry farmer who started his working life at a cardboard box factory, will probably become the next prime minister of Japan. https://t.co/h0cqcU2x2K",,Yoshihide Suga the son of a strawberry farmer who started his working life at a cardboard box factory will probably become the next prime minister of Japan httpstcoh0cqcU2x2K
212,FinancialTimesv3_0906.csv,,02/09/2020 17:05,,63,,9,0,1,1,,"‘Maurice serves as a hopeful plea from another era, a happy reminder that queer love isn’t doomed to fail, despite what we might be told,' says actor Ben Whishaw, who narrates a new audio version of EM Forster's tale https://t.co/iVAairtbhn",,Maurice serves as a hopeful plea from another era a happy reminder that queer love isnt doomed to fail despite what we might be told says actor Ben Whishaw who narrates a new audio version of EM Forsters tale httpstcoiVAairtbhn
208,FinancialTimesv3_0906.csv,,02/09/2020 18:30,,64,,0,0,1,1,,"Europe will create thousands of “zombie companies” and lose competitiveness against the US and other countries if it keeps extending state aid to shield the economy, Deutsche Bank’s chief has warned https://t.co/RueSrd4cEo",,Europe will create thousands of zombie companies and lose competitiveness against the US and other countries if it keeps extending state aid to shield the economy Deutsche Banks chief has warned httpstcoRueSrd4cEo
207,FinancialTimesv3_0906.csv,,02/09/2020 18:30,,65,,2,0,0,1,,Mongol parents and students across northern China are protesting against new policies curtailing the use of Mongolian language in classrooms. https://t.co/z732ZgqAz9,,Mongol parents and students across northern China are protesting against new policies curtailing the use of Mongolian language in classrooms httpstcoz732ZgqAz9
204,FinancialTimesv3_0906.csv,,02/09/2020 20:30,,66,,7,0,1,1,,"Tesla’s biggest independent shareholder has cut its investment in the electric car maker, generating profits of about $17bn in just eight months https://t.co/J8GMdVh3J2",,Teslas biggest independent shareholder has cut its investment in the electric car maker generating profits of about 17bn in just eight months httpstcoJ8GMdVh3J2
203,FinancialTimesv3_0906.csv,,02/09/2020 20:59,,67,,2,1,0,1,,"Just published: front page of the Financial Times, UK edition, Thursday 3 September             https://t.co/Zd8Si7Zqo1 https://t.co/AQp8W1OAa7",,Just published front page of the Financial Times UK edition Thursday 3 September             httpstcoZd8Si7Zqo1 httpstcoAQp8W1OAa7
