,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
2181,4898091,2020-01-03 15:00:16+00:00, ,1213112847657570304,en,21,0,1,10,SocialFlow,"Turkish President Recep Tayyip Erdogan wants to raise a 'pious generation'. But young people are shunning the values that the ruling party would like them to uphold
https://t.co/L89TlFjcDg"
2180,4898091,2020-01-03 15:16:09+00:00, ,1213116845949161474,en,0,0,0,13,SocialFlow,RT @AlecuRussell: Maybe we buried the lede in this amazing piece on science breakthroughs for the 2020s. FT's science ed @clivecookson puts…
2178,4898091,2020-01-03 15:40:04+00:00, ,1213122864255324163,en,34,1,0,13,SocialFlow,"Did you know your will can be challenged when you die? 
https://t.co/NmXyPGVVvi"
2176,4898091,2020-01-03 16:00:20+00:00, ,1213127967464972288,en,15,1,0,4,SocialFlow,"Jonathan Margolis: If there is one trend for the 2020s I would want to flag up, it is the emergence of unusual patrons of innovative technology
https://t.co/N1obtEthCv"
2173,4898091,2020-01-03 16:40:05+00:00, ,1213137968703168513,en,3,1,2,5,SocialFlow,"Opinion: As technology brings reality and virtual reality closer together, which version will you prefer? https://t.co/u49MdBKDYR"
2172,4898091,2020-01-03 17:00:14+00:00, ,1213143041034399744,en,19,0,0,2,SocialFlow,"As you return to work after the holidays and assess the year ahead, take some inspiration from business leaders and FT columnists https://t.co/yZv9n8CW63"
2171,4898091,2020-01-03 17:20:04+00:00, ,1213148031295594496,en,9,0,1,3,SocialFlow,Do you know everything there is to know about the 2010s? Try our cultural quiz of the decade: https://t.co/zq0CWk7ZpS
2169,4898091,2020-01-03 18:00:13+00:00, ,1213158133658456065,en,24,2,0,9,SocialFlow,"India’s wedding season is underway, but the mood is different this year since the country is going through a painful economic slowdown that has hurt growth, jobs and consumption — even affecting the lavish Indian wedding industry https://t.co/tvqnWSiXsW https://t.co/fZCQAQD1NN"
2164,4898091,2020-01-03 19:40:02+00:00, ,1213183253005422593,en,0,0,0,30,SocialFlow,RT @muradahmed: NEW in @FT: Russian billionaire Alisher Usmanov says he is eyeing a stake in #Everton in first public statements about the…
2162,4898091,2020-01-03 20:20:03+00:00, ,1213193324380774401,en,36,2,6,15,SocialFlow,"Tesla delivered a total of 367,500 vehicles in 2019, meeting the company’s delivery guidance for the year and pushing shares to a record high. The electric car maker’s annual total was 50% higher than in 2018 https://t.co/306PQwaaNJ"
2161,4898091,2020-01-03 20:30:05+00:00, ,1213195852510121985,en,20,1,0,13,SocialFlow,"Just published: front page of the Financial Times international edition, Saturday January 4 https://t.co/X9CNQSlPDt https://t.co/bCSD7Hfomg"
2159,4898091,2020-01-03 20:50:04+00:00, ,1213200880553668608,en,27,18,8,12,SocialFlow,"In a landmark case, a tribunal in the UK has ruled that 'ethical veganism' is a philosophical belief and should have legal protection against discrimination in the same way as a religion https://t.co/WYgcr9LDgO"
2158,4898091,2020-01-03 21:00:11+00:00, ,1213203426156433409,en,91,11,11,67,SocialFlow,"Opinion: If the conflict between Iran and the US comes to war, we need to understand this will not be a traditionally-fought conflict. The arena will be the entire region and possibly the world. It is unlikely to have either a clear start or a clear end https://t.co/TsxFyrYJMv"
2156,4898091,2020-01-03 21:40:06+00:00, ,1213213469878693898,en,17,0,1,12,SocialFlow,"Despite his feared reputation at home and abroad, many Iranians saw Qassem Soleimani as a national hero destined to play an indispensable role in the country's future. Here's how his assassination is playing out in Iran: https://t.co/lNwqeJWWV0 https://t.co/CzPpaIBmHg"
2153,4898091,2020-01-03 22:40:09+00:00, ,1213228582568448001,en,26,4,4,10,SocialFlow,"Two impeachments, a string of corruption scandals and a brutal recession in Brazil have proven that republicanism damaged the country, said Dom Bertrand, the heir to Brazil's throne, who is now leading an emboldened pro-monarchy campaign https://t.co/sCZmk9UNNn https://t.co/W82Q47MsdZ"
2152,4898091,2020-01-03 23:00:21+00:00, ,1213233668367560704,en,26,4,4,17,SocialFlow,"Opinion: Months of devastating fires, coupled with an ill-timed holiday to Hawaii, have fanned attacks on Scott Morrison and his administration’s reluctance to tackle climate change. This is why the Australian PM is our Person in the News this week: https://t.co/391AmemPov"
2150,4898091,2020-01-03 23:40:06+00:00, ,1213243669450559491,en,39,3,1,13,SocialFlow,‘Simply moaning about the state of democracy isn’t enough; we need tangible actions and innovation’ — Gillian Tett on how we can defend democracy https://t.co/v9BmsoY4fQ
2149,4898091,2020-01-04 00:02:04+00:00, ,1213249198344286210,en,20,0,1,3,SocialFlow,"Can today’s students ever experience the despair – and immersion – that can arise from being truly cut off from home? — Joshua Chaffin on studying abroad, and whether it can really be the same again https://t.co/LOmJn6BQfF"
2148,4898091,2020-01-04 00:28:04+00:00, ,1213255742276472833,en,0,0,0,55,SocialFlow,RT @laurapitel: Turkish private jet operator MNG Jet has admitted that it helped former Nissan chairman Carlos Ghosn to escape from Japan –…
2147,4898091,2020-01-04 00:49:10+00:00, ,1213261052986703872,en,0,0,0,7,SocialFlow,"RT @AlecuRussell: Two hours with the oligarch Usmanov, far too much vodka and countless tips on Putin, the Premier League and more = fab st…"
